name;id
"Hop cones, ground, powdered or in pellets; lupu";UNCTAD-SoP1_Raw materials_121020
Liquorice roots, of a kind used in perfumery, p;UNCTAD-SoP1_Raw materials_121110
Ginseng roots, of a kind used in perfumery, pha;UNCTAD-SoP1_Raw materials_121120
Other plants or parts, of a kind used in perfum;UNCTAD-SoP1_Raw materials_121190
Locust beans (incl. locust bean seeds), fresh o;UNCTAD-SoP1_Raw materials_121210
Seaweeds and other algae used for human consump;UNCTAD-SoP1_Raw materials_121220
Apricot, peach or plum stones and kernels used;UNCTAD-SoP1_Raw materials_121230
Sugar beet, fresh or dried;UNCTAD-SoP1_Raw materials_121291
Sugar cane, fresh or dried;UNCTAD-SoP1_Raw materials_121292
Vegetable products used primarily for human con;UNCTAD-SoP1_Raw materials_121299
Cereal straw and husks;UNCTAD-SoP1_Raw materials_121300
